device_id,timestamp,accuracy,heading_d,latitude,longitude
Tango,1999-12-31T20:12:04Z,4,356,-24.226131,30.915363
Tango,1999-12-31T20:12:08Z,4,360,-24.225922,30.91535
Tango,1999-12-31T20:12:11Z,5,354,-24.225773,30.915352
Tango,1999-12-31T20:12:14Z,6,352.1,-24.225668,30.91534
Tango,1999-12-31T20:12:18Z,4,3.9,-24.225502,30.915327
Tango,1999-12-31T20:12:21Z,4,358,-24.225351,30.915327
Tango,1999-12-31T20:12:25Z,4,356,-24.225147,30.915316
Tango,1999-12-31T20:12:29Z,4,355.6,-24.225002,30.915304
Tango,1999-12-31T20:12:32Z,4,359,-24.224855,30.915298
Tango,1999-12-31T20:12:36Z,4,357,-24.22466,30.915298
Tango,1999-12-31T20:12:40Z,3,357,-24.22447,30.91528
Tango,1999-12-31T20:12:44Z,3,357,-24.22427,30.915268
Tango,1999-12-31T20:12:48Z,4,358,-24.224058,30.915262
Tango,1999-12-31T20:12:52Z,4,356,-24.223846,30.915257
Tango,1999-12-31T20:12:56Z,4,355,-24.223637,30.915236
Tango,1999-12-31T20:12:59Z,5,354,-24.223476,30.91522
Tango,1999-12-31T20:13:03Z,4,358,-24.223265,30.915209
Tango,1999-12-31T20:13:06Z,4,357,-24.223104,30.915203
Tango,1999-12-31T20:13:09Z,4,355,-24.222956,30.9152
Tango,1999-12-31T20:13:13Z,4,320.1,-24.222809,30.915138
Tango,1999-12-31T20:13:16Z,5,301,-24.222746,30.915045
Tango,1999-12-31T20:13:19Z,6,276.1,-24.222675,30.914896
Tango,1999-12-31T20:13:23Z,5,264,-24.222692,30.914677
Tango,1999-12-31T20:13:27Z,5,266,-24.222708,30.914492
Tango,1999-12-31T20:13:30Z,4,262,-24.222729,30.914322
Tango,1999-12-31T20:13:33Z,4,270,-24.22274,30.914164
Tango,1999-12-31T20:13:37Z,5,279,-24.222733,30.913952
Tango,1999-12-31T20:13:41Z,5,260.6,-24.22272,30.913774
Tango,1999-12-31T20:13:45Z,4,258,-24.222776,30.913591
Tango,1999-12-31T20:13:48Z,4,268,-24.222784,30.913448
Tango,1999-12-31T20:13:52Z,4,257,-24.222803,30.913298
Tango,1999-12-31T20:13:55Z,4,260.3,-24.22283,30.913176
Tango,1999-12-31T20:13:59Z,4,261.2,-24.22284,30.913029
Tango,1999-12-31T20:14:02Z,5,256,-24.22287,30.912895
Tango,1999-12-31T20:14:05Z,5,268,-24.222889,30.912724
Tango,1999-12-31T20:14:09Z,4,267,-24.222889,30.912493
Tango,1999-12-31T20:14:13Z,4,265,-24.222898,30.912352
Tango,1999-12-31T20:14:16Z,4,264,-24.22291,30.912245
Tango,1999-12-31T20:14:20Z,4,264,-24.222923,30.912022
Tango,1999-12-31T20:14:23Z,6,259,-24.22294,30.911863
Tango,1999-12-31T20:14:26Z,4,265,-24.222963,30.911713
Tango,1999-12-31T20:14:30Z,4,264,-24.222977,30.911509
Tango,1999-12-31T20:14:34Z,4,259,-24.222984,30.911283
Tango,1999-12-31T20:14:37Z,4,261,-24.223013,30.911123
Tango,1999-12-31T20:14:41Z,4,266,-24.223032,30.9109
Tango,1999-12-31T20:14:45Z,4,264,-24.223047,30.910688
Tango,1999-12-31T20:14:49Z,4,269,-24.223064,30.910458
