device_id,timestamp,accuracy,heading_d,latitude,longitude
Lema,2000-01-01T08:20:23Z,6,87,-24.222258,30.919838
Lema,2000-01-01T08:20:27Z,6,85,-24.22224,30.92013
Lema,2000-01-01T08:20:30Z,6,81,-24.222212,30.920336
Lema,2000-01-01T08:20:33Z,6,82,-24.222183,30.920528
Lema,2000-01-01T08:20:37Z,6,79,-24.222157,30.920738
Lema,2000-01-01T08:20:41Z,6,86,-24.222128,30.92099
Lema,2000-01-01T08:20:45Z,7,83,-24.222116,30.921272
Lema,2000-01-01T08:20:48Z,6,85,-24.222095,30.92149
Lema,2000-01-01T08:20:51Z,6,85,-24.22208,30.9217
Lema,2000-01-01T08:20:55Z,6,86,-24.222063,30.92201
Lema,2000-01-01T08:20:59Z,6,83,-24.222036,30.92228
Lema,2000-01-01T08:21:03Z,6,87,-24.222029,30.922487
Lema,2000-01-01T08:21:06Z,6,86.9,-24.222006,30.922665
Lema,2000-01-01T08:21:10Z,6,81.5,-24.221994,30.922886
Lema,2000-01-01T08:21:13Z,6,81,-24.22196,30.923084
Lema,2000-01-01T08:21:16Z,6,80,-24.22193,30.923267
Lema,2000-01-01T08:21:20Z,6,74,-24.221886,30.923529
Lema,2000-01-01T08:21:24Z,6,86,-24.221851,30.923752
Lema,2000-01-01T08:21:27Z,6,86,-24.221846,30.923927
Lema,2000-01-01T08:21:31Z,6,79,-24.221832,30.924185
Lema,2000-01-01T08:21:34Z,6,86,-24.221806,30.924416
Lema,2000-01-01T08:21:38Z,7,84,-24.221785,30.924667
Lema,2000-01-01T08:21:41Z,8,83,-24.221767,30.924866
Lema,2000-01-01T08:21:45Z,8,80,-24.22175,30.92515
Lema,2000-01-01T08:21:49Z,7,81,-24.221714,30.925394
Lema,2000-01-01T08:21:52Z,6,83,-24.221691,30.925562
Lema,2000-01-01T08:21:55Z,6,82,-24.221668,30.925735
Lema,2000-01-01T08:21:59Z,6,85,-24.221642,30.925978
Lema,2000-01-01T08:22:03Z,7,81,-24.221617,30.926249
Lema,2000-01-01T08:22:07Z,8,79,-24.221573,30.92652
